Character,Line
Joey," Oh, you’re Phoebe’s fan!"
The Fan, Oh yeah! I’ve seen all her movies.
Joey, Movies?
The Fan," That was Phoebe Buffay, the porn star."
Joey, (laughs) I don’t think so.
The Fan," No-no, it was! She was in Sex Toy Story 2, Lawrence of Alabia, and I"
Joey," Hey Gunther, don’t let that guy in here anymore! He just said"
Gunther," Well, I wouldn’t call her a star, but she’s really good. You"
[Scene," Central Perk, time lapse, Rachel is at the counter as Jill enters.]"
Jill, Hey!
Rachel, Hey!
Jill," You’ll never believe what just happened, Ross just totally blew me"
Rachel, Ohhh well. Y’know what honey? The best thing to do to get over a
Jill," Y’know, thanks for trying to cheer me up, but I’m not gonna date"
Rachel," It’s not random, it’s Bob."
Jill, It’s probably because not mature enough. Or smart enough. Maybe he
Rachel," No honey, okay, okay, you wanna know why Ross canceled the date? Because"
Jill, You asked him too?!
Rachel, Hm-mmm.
Jill, Why?!
Rachel, Because you are my sister and Ross and I have this huge history…
Jill," I don’t understand, do you want to go out with Ross?"
Rachel, No.
Jill," You don’t want him, but you don’t want me to have him?"
Rachel, (changing the subject) Y’know Bob in Human Resources…
Jill, Ugh! I cannot believe you did this too me! You had me doubting how smart I
Rachel," Look, this is not that big of a deal! You just don’t date Ross!"
Jill, Hey! You have no right to tell me what to do.
Rachel, I’m not telling you what to do! I am telling you what not to
Jill, Why are you so jealous of me?
Rachel, Jill this is not about me being jealous of you! This is about you being
Jill," Can’t have?! Excuse me, the only thing I can’t have is dairy!"
Rachel," All right, all right, well you just blew your chances at dating Bob!"
Jill, Who?!
Rachel, In Human Resources!!!!!!
[Scene," Monica and Chandler's, Rachel is ranting about Jill to Chandler and Monica.]"
Rachel, …I am jealous of her?! I mean who does she think she is?! Princess
Monica, You’re jealous of Princess Caroline?
Rachel, Do I have my own castle?
Ross," Hey! Uh, Phoebe’s not here is she?"
Rachel, No.
Monica, (noticing the bag Joey’s carrying) Oh great! Did you get a movie?
Joey," Uhhh, yeah. Yeah. But uh, I don’t think it’s the kind"
Chandler, You didn’t get more movies that are gonna have us reaching for
Joey, Sort of…
Monica," Guys, what’s going on?"
Joey, (holds up the movie) Phoebe’s a porn star!
All, What?!!
Chandler, Phoebe Buffay in Buffay
Rachel, Oh my God!
Monica, That’s Phoebe! Where did you get that?
Joey, Well down at the adult video place down on Bleaker.
Ross," And-and I, and I saw that Joey was about to go in, so I ran in ahead of"
Rachel," Wow! I mean, I just—I can’t, I can’t believe this."
Monica," This is so bizarre. I guess it kinda makes sense though, y’know she"
Chandler," Hey, I had a terrible childhood and I don’t do porn."
Monica," Yes, but you are dead inside."
Joey," All right well, I’d better take that back."
Monica," Wh-what, why?"
Joey, We can’t watch that! I mean that’s Phoebe!
Monica," Yeah you’re right, we can’t—we shouldn’t watch this."
Rachel, Absolutely not.
Monica," (hands the tape back to Joey, but doesn’t let him grab it)"
Rachel, Probably just the first half.
Joey," No! Hey no! This is wrong you guys! Phoebe’s our friend! Well,"
Ross, Yeah! Good for you Joe!
Joey, Yeah.
"Buffay, the Vampire Layer"," Ah, I thought I’d find you here, Nasforatool."
The Vampire," Buffay, are you going to plunge your stake into my dark places?"
"Buffay, the Vampire Layer"," Actually, I was kinda hoping it would be the other"
Monica, Hold on a second! What is that on her ankle?
Chandler, Her ankle is what you’re watching?
Rachel," Well it’s hard to tell… (Rachel gets up to get a closer look,"
Chandler, She’s just doing her job!
Joey, (sitting at the kitchen table with his back to the TV) You sick bastards!
Rachel," Oh, it’s a tattoo! That’s weird, Phoebe doesn’t…"
Joey, Re! Re! Then I can watch that! Rewind it! Rewind it!
Phoebe, (entering) Hey! What’s up? (Sees the TV) Oh my God! What am I
[Scene," Monica and Chandler's, Chandler is reading Chicken Soup for the Soul as"
Monica, Hey sweetie!
Chandler, Hey! (He quickly tries to hide the book by throwing it under the
Monica, (picking up the book) Chicken Soup for the Soul? 
Chandler, There’s no back to this couch!
Monica, Why are you reading this? You hate this kind of stuff.
Chandler," Yeah I know, but I figured a shot y’know? Maybe one of those"
Monica, Oh that’s so sweet! Look Chandler I don’t care if you
Chandler, Oh that makes me feel so warm in my hollow tin chest.
Monica, Stop it!
Chandler," No, I mean, come on, seriously think about it, we get married,"
Monica," I won’t care, because I know you will be feeling it all in here."
Chandler, Yeah?
Monica," Yeah! And if, and if we have a baby one-day, and the doctor hands it to"
Chandler," Okay, well I won’t uh, worry about this anymore then."
Monica," And-and-and if I die, from a long illness. And you’re writing out"
Chandler," Aww, I love you so…"
Monica, What is wrong with you?!!!
Chandler, What?!
Monica," What?! You can’t shed a tear for your dead wife!! Now, I left you a"
Chandler, So you didn’t mean any of that?!
Monica, No you robot!!
[Scene," Ross's apartment, his doorbell is ringing and he’s running to answer it"
Ross," You damn kids! You ring my bell one more time, I swear to… (Opens the"
Jill," Rachel and I had a really big fight, can I come in? I-I mean I know"
Ross," Of course, what happened? (Lets her in.)"
Jill, (entering) I don’t want to talk about it.
Ross," Okay, umm…"
Jill, But you know what might really cheer me up?
Ross, What?
Jill, Seeing some more of your super-cool slides.
Ross, Wow! Really?!
Jill," Totally, I love them! And, maybe you could finish telling me about all the"
Ross," Well, I’d love to! Here, you wait right here and I’ll go get the"
Jill," Oh great! Thanks Ross, you’re such a good friend!"
Ross, Ohh!
Rachel, Hey! Have you guys seen Jill? I can’t find her anywhere.
Monica," No, I haven’t."
Rachel," Well, is Ross home? Maybe I’ll just call him to see if he’s"
[Scene," Ursula’s apartment, Phoebe is going to confront her twin about her new"
Ursula, Who is it?
Phoebe, It’s Phoebe! Phoebe!
Ursula, Hey!
Phoebe, (seeing her dress) Oh God. So-so you’re making porn movies.
Ursula, No I’m not.
Man’s Voice, We’re still rolling!
Phoebe, You’re making one right now!
Another Man’s Voice, Let’s go Phoebe!
Phoebe, And-and you’re using my name!
Ursula," Yeah, can I help you with something?"
Same Man’s Voice," Phoebe, come on!"
Phoebe," Look, I’m talking right now! You’re—you mean her."
Ursula," Y’know, twin stuff is always a real big seller."
Phoebe, What?!
Ursula," Yeah, I can talk them into giving you like, 30 dollars."
Phoebe, No!! No way! No! And stop using my name! And shame on you! (Yells into
[Scene," Ross's apartment, Ross is setting up for the slide show.]"
Ross, Slides are almost ready.
Jill," Yeah. Ooh, I know what this is missing! Alcohol!"
Ross," Uh okay, well there’s-there’s wine in the kitchen."
Jill, Oh great! (Goes to get it as the phone rings.)
Ross, (answering it) Hello?
Rachel, (on phone) What is my sister doing there?! And why are the
Ross," O-okay, Rach calm-calm down, okay? She-she’s really upset we’re"
Rachel, Ross! I think she is trying to make something happen with you to get
Ross, So that’s the only reason she could be here huh? It couldn’t
Rachel," Ross, I am telling you that she is using you to get back at me!"
Ross," Y’know what? I think I can take care of myself, I’ll talk to you"
Jill, So? (Kisses him passionately.)
[Scene," Central Perk, Joey is reading a paper as Phoebe enters.]"
Phoebe, Hey!
Joey, Hey!
Phoebe," So, I just came from the company Ursula works for."
Joey," Oh no, not you too!"
Phoebe, No! No! I just went to pick up Phoebe Buffay’s checks; there were a
Joey, Nice!
Phoebe," Um-mmm, and I won’t have to go there anymore because I gave"
Joey," That’s great, but isn’t it gonna bother that people still think"
Phoebe, Oh no! No! I know how to handle it.
Joey, You do?
Phoebe, Yeah. (She notices some guy putting a coat on his girlfriend is trying
Joey, Yeah.
[Scene," Monica and Chandler's, time lapse, Ross is entering. Chandler and Monica are at"
Chandler, Hey.
Ross," (To Rachel) You uh, you may have been right about Jill."
Rachel, Oh! I knew it! What happened?
Ross," Umm, she kissed me."
Rachel, What?! You kissed!
Chandler, (To Monica) Maybe we should give them some privacy.
Monica, (To Chandler) Shhhh!!!
Ross," Look, I uh, I tried not to kiss her, okay?"
Rachel," Well, it doesn’t sound like it! I mean, it’s pretty easy not"
Ross," Let me finish, okay? She started kissing me and-and I didn’t stop it."
Rachel, Yeah that’s right you weren’t thinking! Y’know what? Let
Ross, Oh wait—hold it! But then I started thinking and I stopped the
Rachel," Oh, well thank you for taking your tongue out of my sister’s mouth"
Ross, Look I-I realize if anything were to happen with me and Jill then nothing
Rachel, What?!
Ross," No, I mean, look I don’t know if anything is going to happen with us,"
Rachel," Wow. I, I don’t even know what to say. Thank you. (Gently kicks"
Ross, You’re welcome. (Gently kicks her back.)
Monica, Oh my God! Are-are you crying?
Chandler, (crying hysterically) I just don’t see why those two can’t
[Scene," Central Perk, everyone is there as Jill enters.]"
Jill," All right, I’m leaving! Because I’m not going to spend one more"
Rachel," Yeah, I got that."
Jill," (To Ross) And you! I throw myself at you and you say no, how gay are you?"
Ross, You take care Jill.
Jill," (happily) Okay, see ya! (Exits.)"
Rachel, Bye-bye-e!
Monica, Bye.
Chandler, (starts crying) I-I can’t believe Jill’s gone. (They all
Part I Written by, Greg Malins & Adam Chase
Part II Written by, David Crane & Marta Kauffman
Parts I & II Transcribed by, Eric Aasen
{Transcriber’s Note, This is an hour-long special episode. Which means that the
[Scene," Central Perk, everyone is there as Rachel enters.]"
Rachel," Hey, you guys! Guess what? Barry and Mindy are getting a divorce!"
Monica, Oh my God!
Phoebe, Wow!
Joey, (To Ross) What is the matter with you?!
Phoebe, No! Barry and Mindy.
Joey," Oh sorry, I hear divorce I immediately go to Ross. (To Rachel)"
Rachel, Barry was the guy that I was almost married and Mindy was my best
Joey," Ohh-oh, wasn’t he cheating on you with her?"
Rachel," Yeah, but that just means that he was falling asleep on top of her"
Monica, Why did they get divorced?
Rachel," Well, apparently she caught him cheating on her with someone else."
Ross," I know what you mean, I’ve always wondered how different my life"
Phoebe, Which time?
Ross," The first time! No seriously, imagine if Carol hadn’t realized she"
Joey, (starts to imagine it) I can’t. I keep seeing it the good way.
Ross," I’d bet I’d still be doing my kara-tay. (That’s karate,"
Chandler, Maybe the problem was you were pronouncing it kara-tay.
Monica," And what if I was still fat? (To Chandler) Well, you wouldn’t be"
Chandler, Sure I would!
All, (simultaneously) Oh yeah! Come on! Yeah right!
Chandler," What, you guys really think that I’m that shallow?"
Ross," No, I just think Monica was that fat."
Joey," Hey, imagine if I never got fired off Days Of Our Lives! (Closes"
Chandler, What if I had had the guts to quit my job? I’d probably be
Phoebe, What if I had taken that job at Merrill Lynch?
Ross, What?!
Rachel, Merrill Lynch?
Phoebe," Yeah, I had a massage client who worked there and-and he said I had a"
Rachel, Well why didn’t you take the job?
Phoebe," Because at that time you see, I thought everything that rhymed was true."
Ross," Hey, do you guys think that if all those things happened, we’d still"
{Transcriber’s note," This is where the opening credits are, but they’re not"
[Scene," A newsstand, Ross is buying a magazine and gets in line behind a woman.]"
Ross, (recognizing her) Oh my God! Rachel Green?
Rachel, (gasps) Rob Tillman!
Ross," No-no. It’s-it’s me, Ross!"
Rachel," Oh, I’m sorry. Ross Tillman."
Ross," No, no-no, Ross Geller."
Rachel," Ohh, of course Monica’s brother!"
Ross, Yeah. Right.
Rachel, Wow! How are you?!
Ross," Good-good, I’m-I’m married. (Shows her his ring.)"
Rachel, Ohh! Me too!
Ross, Is-isn’t it the best?
Rachel," Oh, it’s the best! (They both exhale contemplating the joys of"
Ross," Oh really, really great! Yeah! A-actually she’s right down the"
Rachel," Ohh, I would love too."
Ross," Yeah? Oh-oh, she’d be so excited!"
Rachel, Ohh! Okay!
Ross, Come on! (They start to leave.)
Rachel," Oh wait, don’t you have to pay for your, (looks at his magazine)"
Ross," No, it’s okay. Some-some kid asked me to pick it up for him, but I"
Rachel, (laughs) Oh yeah? Okay.
Ross, (putting the magazine back and holding the money for it) Okay.
Rachel, But! Don’t you have to give him his money back?
Ross," Uh-huh. (Steps to a random kid nearby and hands him his money.) Hey, here"
[Scene," Central Perk, Joey, Fat Monica, and her boyfriend are sitting on the couch."
Joey," So Monica, still going out with Dr. Boring huh?"
Monica, He’s not boring! He’s just-he’s just low key.
